x_value,total_1,total_2
0,1000,1000
1,1000,1000
2,1006,998
3,1011,996
4,1009,1000
5,1017,1002
6,1019,1003
7,1020,1000
8,1024,1003
9,1025,1003
10,1032,1007
11,1036,1011
12,1036,1008
13,1042,1012
14,1044,1009
15,1045,1012
16,1042,1010
17,1044,1016
18,1051,1018
19,1045,1017
20,1043,1021
21,1040,1025
22,1041,1026
23,1041,1022
24,1042,1020
25,1049,1015
26,1054,1019
27,1052,1017
28,1051,1021
29,1054,1017
30,1054,1017
31,1048,1012
32,1052,1012
33,1047,1010
34,1048,1014
35,1051,1018
36,1055,1019
37,1055,1018
38,1058,1022
39,1061,1026
40,1061,1024
41,1059,1019
42,1061,1017
43,1067,1017
44,1067,1019
45,1070,1016
46,1070,1021
47,1075,1022
48,1074,1019
49,1068,1025
50,1076,1023
51,1070,1018
52,1067,1020
53,1066,1022
54,1072,1025
55,1075,1026
56,1077,1022
57,1077,1021
58,1076,1018
59,1072,1024
60,1067,1027
61,1062,1031
62,1059,1028
63,1067,1032
64,1073,1027
65,1072,1031
66,1066,1027
67,1064,1026
68,1070,1029
69,1066,1033
70,1067,1029
71,1068,1029
72,1064,1033
73,1070,1029
74,1065,1030
75,1071,1025
76,1069,1026
77,1072,1023
78,1074,1023
79,1080,1019
80,1075,1022
81,1082,1017
82,1080,1022
83,1088,1026
84,1096,1025
85,1097,1022
